region;country;zone;ref;url
south america;brazil;camaqua traffic;26590;https://worldcam.eu/webcams/south-america/brazil/26590-camaqua-traffic
south america;brazil;icaraima porto camargo;32209;https://worldcam.eu/webcams/south-america/brazil/32209-icaraima-porto-camargo
south america;brazil;guarulhos sao paulo guarulhos international airport;29905;https://worldcam.eu/webcams/south-america/brazil/29905-guarulhos-sao-paulo-guarulhos-international-airport
south america;brazil;sao pedro paragliding site;33167;https://worldcam.eu/webcams/south-america/brazil/33167-sao-pedro-paragliding-site
south america;brazil;jaguariuna naga cable park;30995;https://worldcam.eu/webcams/south-america/brazil/30995-jaguariuna-naga-cable-park
south america;brazil;salgueiro panoramic view;19741;https://worldcam.eu/webcams/south-america/brazil/19741-salgueiro-panoramic-view
south america;brazil;praia do cassino;31312;https://worldcam.eu/webcams/south-america/brazil/31312-praia-do-cassino
south america;brazil;rio branco panoramic view;32542;https://worldcam.eu/webcams/south-america/brazil/32542-rio-branco-panoramic-view
south america;argentina;resistencia traffic;35116;https://worldcam.eu/webcams/south-america/argentina/35116-resistencia-traffic
south america;barbados;bathsheba beach;20534;https://worldcam.eu/webcams/south-america/barbados/20534-bathsheba-beach
south america;brazil;paraty heliport marina;26690;https://worldcam.eu/webcams/south-america/brazil/26690-paraty-heliport-marina
south america;brazil;armacao dos buzios beach;29902;https://worldcam.eu/webcams/south-america/brazil/29902-armacao-dos-buzios-beach
south america;brazil;matinhos beaches;29368;https://worldcam.eu/webcams/south-america/brazil/29368-matinhos-beaches
south america;peru;cajamarca laguna san nicolas;32094;https://worldcam.eu/webcams/south-america/peru/32094-cajamarca-laguna-san-nicolas
south america;brazil;gramado praca das etnias;33658;https://worldcam.eu/webcams/south-america/brazil/33658-gramado-praca-das-etnias
south america;uruguay;montevideo legislative palace;20796;https://worldcam.eu/webcams/south-america/uruguay/20796-montevideo-legislative-palace
south america;brazil;buritama praca matriz monumento do peixe;31404;https://worldcam.eu/webcams/south-america/brazil/31404-buritama-praca-matriz-monumento-do-peixe
south america;chile;puerto aysen sargento aldea;33745;https://worldcam.eu/webcams/south-america/chile/33745-puerto-aysen-sargento-aldea
south america;brazil;manaus vieiralves;34035;https://worldcam.eu/webcams/south-america/brazil/34035-manaus-vieiralves
south america;argentina;villa maza;31635;https://worldcam.eu/webcams/south-america/argentina/31635-villa-maza
south america;brazil;sorocaba panoramic view;31841;https://worldcam.eu/webcams/south-america/brazil/31841-sorocaba-panoramic-view
south america;brazil;sao paulo sampa sky panoramic view;35779;https://worldcam.eu/webcams/south-america/brazil/35779-sao-paulo-sampa-sky-panoramic-view
south america;brazil;chapeco panoramic view;30799;https://worldcam.eu/webcams/south-america/brazil/30799-chapeco-panoramic-view
south america;brazil;santa maria do herval ponte centro;33654;https://worldcam.eu/webcams/south-america/brazil/33654-santa-maria-do-herval-ponte-centro
south america;brazil;porto alegre salgado filho porto alegre international airport;25401;https://worldcam.eu/webcams/south-america/brazil/25401-porto-alegre-salgado-filho-porto-alegre-international-airport
